Name,OSIS,Paratext,ESV,Biblica
Genesis,Gen,GEN,Gen,GEN
Exodus,Exod,EXO,Ex,EXO
Leviticus,Lev,LEV,Lev,LEV
Numbers,Num,NUM,Num,NUM
Deuteronomy,Deut,DEU,Deut,DEU
Joshua,Josh,JOS,Josh,JOS
Judges,Judg,JDG,Judg,JDG
Ruth,Ruth,RUT,Ruth,RUT
1 Samuel,1Sam,1SA,1 Sam,1SA
2 Samuel,2Sam,2SA,2 Sam,2SA
1 Kings,1Kgs,1KI,1 Kings,1KI
2 Kings,2Kgs,2KI,2 Kings,2KI
1 Chronicles,1Chr,1CH,1 Chron,1CH
2 Chronicles,2Chr,2CH,2 Chron,2CH
Ezra,Ezra,EZR,Ezra,EZR
Nehemiah,Neh,NEH,Neh,NEH
Esther,Esth,EST,Est,EST
Job,Job,JOB,Job,JOB
Psalms,Ps,PSA,Ps,PSA
Proverbs,Prov,PRO,Prov,PRO
Ecclesiastes,Eccl,ECC,Eccles,ECC
Song of Solomon,Song,SNG,Song,SOL
Isaiah,Isa,ISA,Isa,ISA
Jeremiah,Jer,JER,Jer,JER
Lamentations,Lam,LAM,Lam,LAM
Ezekiel,Ezek,EZK,Ezek,EZE
Daniel,Dan,DAN,Dan,DAN
Hosea,Hos,HOS,Hos,HOS
Joel,Joel,JOL,Joel,JOE
Amos,Amos,AMO,Amos,AMO
Obadiah,Obad,OBA,Obad,OBA
Jonah,Jonah,JON,Jonah,JON
Micah,Mic,MIC,Mic,MIC
Nahum,Nah,NAM,Nah,NAH
Habakkuk,Hab,HAB,Hab,HAB
Zephaniah,Zeph,ZEP,Zeph,ZEP
Haggai,Hag,HAG,Hag,HAG
Zechariah,Zech,ZEC,Zech,ZEC
Malachi,Mal,MAL,Mal,MAL
Matthew,Matt,MAT,Matt,MAT
Mark,Mark,MRK,Mark,MAR
Luke,Luke,LUK,Luke,LUK
John,John,JHN,John,JOH
Acts,Acts,ACT,Acts,ACT
Romans,Rom,ROM,Rom,ROM
1 Corinthians,1Cor,1CO,1 Cor,1CO
2 Corinthians,2Cor,2CO,2 Cor,2CO
Galatians,Gal,GAL,Gal,GAL
Ephesians,Eph,EPH,Eph,EPH
Philippians,Phil,PHP,Phil,PHI
Colossians,Col,COL,Col,COL
1 Thessalonians,1Thess,1TH,1 Thess,1TH
2 Thessalonians,2Thess,2TH,2 Thess,2TH
1 Timothy,1Tim,1TI,1 Tim,1TI
2 Timothy,2Tim,2TI,2 Tim,2TI
Titus,Titus,TIT,Titus,TIT
Philemon,Phim,PHM,Philem,PHM
Hebrews,Heb,HEB,Heb,HEB
James,Jas,JAS,James,JAM
1 Peter,1Pet,1PE,1 Pet,1PE
2 Peter,2Pet,2PE,2 Pet,2PE
1 John,1John,1JN,1 John,1JO
2 John,2John,2JN,2 John,2JO
3 John,3John,3JN,3 John,3JO
Jude,Jude,JUD,Jude,JUD
Revelation,Rev,REV,Rev,REV
